compression,defense,attack,clean_acc,robust_acc,asr,robustness_gap,psnr_db,ssim
fp32,none,fgsm,0.85,0.614,0.386,0.236,30.2,0.9844
fp32,at,fgsm,0.984713,0.805605,0.194395,0.179108,30.2,0.9844
fp32,at_kd,fgsm,0.994395,0.835669,0.164331,0.158726,30.2,0.9844
fp32,none,pgd,0.85,0.079,0.921,0.771,33.41,0.9927
fp32,at,pgd,0.984713,0.0,1.0,0.984713,33.41,0.9927
fp32,at_kd,pgd,0.994395,0.0,1.0,0.994395,33.41,0.9927
fp32,none,patch,0.85,0.192,0.808,0.658,23.51,0.9446
fp32,at,patch,0.99,0.688,0.312,0.302,23.51,0.9446
fp32,at_kd,patch,0.994395,0.748,0.252,0.248,23.51,0.9446
int8,none,fgsm,0.897325,0.387516,0.612484,0.509809,30.2,0.9844
int8,at,fgsm,0.929172,0.426497,0.573503,0.502675,30.2,0.9844
int8,at_kd,fgsm,0.929172,0.425478,0.574522,0.503694,30.2,0.9844
int8,none,pgd,0.897325,0.0,1.0,0.897325,33.4,0.9926
int8,at,pgd,0.929172,0.0,1.0,0.929172,33.4,0.9926
int8,at_kd,pgd,0.929172,0.0,1.0,0.929172,33.4,0.9926
int8,none,patch,0.897325,0.3,0.7,0.594,23.83,0.9487
int8,at,patch,0.918,0.324,0.676,0.594,23.83,0.9487
int8,at_kd,patch,0.929172,0.404,0.596,0.514,23.83,0.9487
int4,none,fgsm,0.844,0.565,0.435,0.279,30.2,0.9844
int4,at,fgsm,0.899363,0.362803,0.637197,0.536561,30.2,0.9844
int4,at_kd,fgsm,0.899363,0.361019,0.638981,0.538344,30.2,0.9844
int4,none,pgd,0.844,0.065,0.935,0.779,33.41,0.9927
int4,at,pgd,0.899363,0.0,1.0,0.899363,33.41,0.9927
int4,at_kd,pgd,0.899363,0.0,1.0,0.899363,33.41,0.9927
int4,none,patch,0.844,0.111,0.889,0.733,23.64,0.9485
int4,at,patch,0.886,0.23,0.77,0.656,23.64,0.9485
int4,at_kd,patch,0.899363,0.23,0.77,0.656,23.64,0.9485
